year,locality,price,brick_cost
2000,North Delhi,1500,6.6
2000,North Delhi,3000,8
2000,South Delhi,2000,6.8
2000,South Delhi,4000,8.2
2000,East Delhi,1200,6.5
2000,East Delhi,2500,8
2000,West Delhi,1000,6.7
2000,West Delhi,2000,8.1
2000,Central Delhi,3000,7
2000,Central Delhi,6000,8.5
2001,North Delhi,1600,7.05
2001,North Delhi,3200,8.55
2001,South Delhi,2200,7.25
2001,South Delhi,4400,8.75
2001,East Delhi,1300,6.95
2001,East Delhi,2700,8.55
2001,West Delhi,1100,7.15
2001,West Delhi,2200,8.65
2001,Central Delhi,3200,7.45
2001,Central Delhi,6400,9.05
2002,North Delhi,1700,7.5
2002,North Delhi,3400,9.1
2002,South Delhi,2400,7.7
2002,South Delhi,4800,9.3
2002,East Delhi,1400,7.4
2002,East Delhi,2900,9.1
2002,West Delhi,1200,7.6
2002,West Delhi,2400,9.2
2002,Central Delhi,3400,7.9
2002,Central Delhi,6800,9.6
2003,North Delhi,1800,7.95
2003,North Delhi,3600,9.65
2003,South Delhi,2600,8.15
2003,South Delhi,5200,9.85
2003,East Delhi,1500,7.85
2003,East Delhi,3100,9.65
2003,West Delhi,1300,8.05
2003,West Delhi,2600,9.75
2003,Central Delhi,3600,8.35
2003,Central Delhi,7200,10.15
2004,North Delhi,2000,8.4
2004,North Delhi,4000,10.2
2004,South Delhi,2800,8.6
2004,South Delhi,5600,10.4
2004,East Delhi,1600,8.3
2004,East Delhi,3300,10.2
2004,West Delhi,1400,8.5
2004,West Delhi,2800,10.3
2004,Central Delhi,3800,8.8
2004,Central Delhi,7600,10.7
2005,North Delhi,2500,8.85
2005,North Delhi,5000,10.75
2005,South Delhi,3500,9.05
2005,South Delhi,7000,10.95
2005,East Delhi,2000,8.75
2005,East Delhi,4000,10.75
2005,West Delhi,1800,8.95
2005,West Delhi,3600,10.85
2005,Central Delhi,4500,9.25
2005,Central Delhi,9000,11.25
2006,North Delhi,3000,9.3
2006,North Delhi,6000,11.3
2006,South Delhi,4000,9.5
