year,locality,price,brick_cost
2000,Mysore,500,6.8
2000,Mysore,1000,8.2
2000,Mangalore,700,6.5
2000,Mangalore,1400,7.9
2000,Hubli-Dharwad,400,6.3
2000,Hubli-Dharwad,800,7.7
2000,Belgaum,350,6
2000,Belgaum,700,7.5
2000,Gulbarga,250,5.8
2000,Gulbarga,500,7.2
2000,Bangalore North,800,7
2000,Bangalore North,1200,8.5
2000,Bangalore South,900,7.2
2000,Bangalore South,1500,8.7
2000,Bangalore East,800,7.3
2000,Bangalore East,1200,8.8
2000,Bangalore West,1000,7.1
2000,Bangalore West,1500,8.6
2001,Mysore,520,7.25
2001,Mysore,1050,8.75
2001,Mangalore,750,6.95
2001,Mangalore,1500,8.45
2001,Hubli-Dharwad,420,6.75
2001,Hubli-Dharwad,850,8.25
2001,Belgaum,370,6.45
2001,Belgaum,740,8.05
2001,Gulbarga,270,6.15
2001,Gulbarga,550,7.65
2001,Bangalore North,850,7.45
2001,Bangalore North,1250,9.05
2001,Bangalore South,950,7.65
2001,Bangalore South,1600,9.25
2001,Bangalore East,850,7.75
2001,Bangalore East,1250,9.35
2001,Bangalore West,1050,7.55
2001,Bangalore West,1550,9.15
2002,Mysore,550,7.7
2002,Mysore,1100,9.3
2002,Mangalore,800,7.4
2002,Mangalore,1600,9
2002,Hubli-Dharwad,450,7.2
2002,Hubli-Dharwad,900,8.8
2002,Belgaum,400,6.9
2002,Belgaum,800,8.6
2002,Gulbarga,300,6.5
2002,Gulbarga,600,8.1
2002,Bangalore North,900,7.9
2002,Bangalore North,1300,9.6
2002,Bangalore South,1000,8.1
2002,Bangalore South,1700,9.8
2002,Bangalore East,900,8.2
2002,Bangalore East,1300,9.9
2002,Bangalore West,1100,8
2002,Bangalore West,1600,9.7
2003,Mysore,580,8.15
2003,Mysore,1150,9.85
2003,Mangalore,850,7.85
2003,Mangalore,1700,9.55
2003,Hubli-Dharwad,480,7.65
2003,Hubli-Dharwad,950,9.35
2003,Belgaum,420,7.35
2003,Belgaum,840,9.15
2003,Gulbarga,320,6.85
2003,Gulbarga,650,8.55
2003,Bangalore North,950,8.35
2003,Bangalore North,1350,10.15
2003,Bangalore South,1100,8.55
2003,Bangalore South,1800,10.35
2003,Bangalore East,950,8.65
2003,Bangalore East,1400,10.45
2003,Bangalore West,1200,8.45
2003,Bangalore West,1700,10.25
2004,Mysore,600,8.6
2004,Mysore,1200,10.4
2004,Mangalore,900,8.3
2004,Mangalore,1800,10.1
2004,Hubli-Dharwad,500,8.1
2004,Hubli-Dharwad,1000,9.9
2004,Belgaum,450,7.8
2004,Belgaum,900,9.15
2004,Gulbarga,350,7.2
2004,Gulbarga,700,9
2004,Bangalore North,1000,8.8
2004,Bangalore North,1400,10.7
2004,Bangalore South,1200,9
2004,Bangalore South,2000,10.9
2004,Bangalore East,1000,9.1
2004,Bangalore East,1500,11
2004,Bangalore West,1300,8.9
2004,Bangalore West,1800,10.8
2005,Mysore,700,9.05
2005,Mysore,1400,10.95
2005,Mangalore,1100,8.75
2005,Mangalore,2200,10.65
2005,Hubli-Dharwad,600,8.55
2005,Hubli-Dharwad,1200,10.45
2005,Belgaum,550,8.25
2005,Belgaum,1100,10.25
2005,Gulbarga,400,7.55
2005,Gulbarga,800,9.45
2005,Bangalore North,1200,9.25
2005,Bangalore North,1800,11.25
2005,Bangalore South,1500,9.45
2005,Bangalore South,2500,11.45
2005,Bangalore East,1300,9.55
2005,Bangalore East,2000,11.55
2005,Bangalore West,1600,9.35
2005,Bangalore West,2000,11.35
2006,Mysore,850,9.5
2006,Mysore,1700,11.5
2006,Mangalore,1300,9.2
2006,Mangalore,2600,11.2
2006,Hubli-Dharwad,750,9
2006,Hubli-Dharwad,1500,11
2006,Belgaum,700,8.7
2006,Belgaum,1400,10.8
2006,Gulbarga,500,7.9
2006,Gulbarga,1000,9.9
2006,Bangalore North,1500,9.7
2006,Bangalore North,2200,11.8
2006,Bangalore South,1800,9.9
2006,Bangalore South,3000,12
2006,Bangalore East,1600,10
2006,Bangalore East,2500,12.1
2006,Bangalore West,1800,9.8
2006,Bangalore West,2500,11.9
2007,Mysore,1000,9.95
2007,Mysore,2000,12.05
2007,Mangalore,1600,9.65
2007,Mangalore,3200,11.75
2007,Hubli-Dharwad,900,9.45
2007,Hubli-Dharwad,1800,11.55
2007,Belgaum,850,9.15
2007,Belgaum,1700,11.35
2007,Gulbarga,600,8.25
2007,Gulbarga,1200,10.35
2007,Bangalore North,2000,10.25
2007,Bangalore North,2800,12.35
2007,Bangalore South,2500,10.35
2007,Bangalore South,3500,12.55
2007,Bangalore East,2100,10.45
2007,Bangalore East,3000,12.65
2007,Bangalore West,2300,10.25
2007,Bangalore West,3000,12.45
2008,Mysore,1200,10.4
2008,Mysore,2400,12.6
2008,Mangalore,2000,10.1
2008,Mangalore,4000,12.3
2008,Hubli-Dharwad,1100,9.9
2008,Hubli-Dharwad,2200,12.1
2008,Belgaum,1000,9.6
2008,Belgaum,2000,11.9
2008,Gulbarga,700,8.6
2008,Gulbarga,1400,10.8
2008,Bangalore North,2200,10.6
2008,Bangalore North,3000,12.9
2008,Bangalore South,2800,10.8
2008,Bangalore South,4000,13.1
2008,Bangalore East,2400,10.9
2008,Bangalore East,3500,13.2
2008,Bangalore West,2500,10.7
2008,Bangalore West,3500,13
2009,Mysore,1300,8.95
2009,Mysore,2600,13.15
2009,Mangalore,2200,10.55
2009,Mangalore,4400,12.85
2009,Hubli-Dharwad,1200,10.35
2009,Hubli-Dharwad,2400,12.65
2009,Belgaum,1100,10.05
2009,Belgaum,2200,12.45
2009,Gulbarga,800,8.95
2009,Gulbarga,1600,11.25
2009,Bangalore North,2300,11.05
2009,Bangalore North,3200,13.45
2009,Bangalore South,3000,11.25
2009,Bangalore South,4200,13.65
2009,Bangalore East,2800,11.35
2009,Bangalore East,4000,13.75
2009,Bangalore West,2700,11.15
2009,Bangalore West,3800,13.5
2010,Mysore,1500,11.3
2010,Mysore,3000,13.7
2010,Mangalore,2500,11
2010,Mangalore,5000,13.4
2010,Hubli-Dharwad,1400,10.8
2010,Hubli-Dharwad,2800,13.2
2010,Belgaum,1300,10.5
2010,Belgaum,2600,13
2010,Gulbarga,1000,9.3
