year,locality,price,brick_cost
2000,Chennai,1200,5.67
2000,Chennai,2500,6.93
2000,Coimbatore,1000,5.4
2000,Coimbatore,2000,6.6
2000,Madurai,800,5.13
2000,Madurai,1500,6.27
2000,Tiruchirappalli,700,5.22
2000,Tiruchirappalli,1400,6.38
2000,Salem,500,4.97
2000,Salem,1000,6.03
2001,Chennai,1300,6.12
2001,Chennai,2700,7.48
2001,Coimbatore,1100,5.85
2001,Coimbatore,2200,7.15
2001,Madurai,850,5.56
2001,Madurai,1600,6.8
2001,Tiruchirappalli,750,5.67
2001,Tiruchirappalli,1500,6.93
2001,Salem,550,5.39
2001,Salem,1100,6.54
2002,Chennai,1400,6.57
2002,Chennai,2900,8.03
2002,Coimbatore,1200,6.3
2002,Coimbatore,2400,7.7
2002,Madurai,900,5.99
2002,Madurai,1700,6.12
2002,Tiruchirappalli,800,6.12
2002,Tiruchirappalli,1600,7.48
2002,Salem,600,5.81
2002,Salem,1200,7.05
2003,Chennai,1500,7.02
2003,Chennai,3100,8.58
2003,Coimbatore,1300,6.75
2003,Coimbatore,2600,8.25
2003,Madurai,1000,6.42
2003,Madurai,1800,7.86
2003,Tiruchirappalli,850,6.57
2003,Tiruchirappalli,1700,8.03
2003,Salem,650,6.23
2003,Salem,1300,7.56
2004,Chennai,1600,7.47
2004,Chennai,3300,9.13
2004,Coimbatore,1400,7.2
2004,Coimbatore,2800,8.8
2004,Madurai,1200,6.85
2004,Madurai,2000,8.39
2004,Tiruchirappalli,900,7.02
2004,Tiruchirappalli,1800,8.58
2004,Salem,700,6.65
2004,Salem,1400,8.07
2005,Chennai,1700,7.92
2005,Chennai,3500,9.68
2005,Coimbatore,1800,7.65
2005,Coimbatore,3600,9.35
2005,Madurai,1400,7.28
2005,Madurai,2400,8.92
2005,Tiruchirappalli,1100,7.47
2005,Tiruchirappalli,2200,9.13
2005,Salem,750,7.07
2005,Salem,1500,8.58
2006,Chennai,1800,8.37
2006,Chennai,3700,10.23
2006,Coimbatore,2200,8.1
2006,Coimbatore,4400,9.9
2006,Madurai,1600,7.71
2006,Madurai,2800,9.45
2006,Tiruchirappalli,1300,7.92
2006,Tiruchirappalli,2600,9.68
2006,Salem,1100,7.49
2006,Salem,2200,9.09
2007,Chennai,1900,8.82
2007,Chennai,3900,10.78
2007,Coimbatore,2600,8.55
2007,Coimbatore,5200,10.45
2007,Madurai,1600,8.14
2007,Madurai,3200,9.98
2007,Tiruchirappalli,1500,8.37
2007,Tiruchirappalli,3000,10.23
2007,Salem,1300,7.91
2007,Salem,2600,9.6
2008,Chennai,2000,9.27
2008,Chennai,4100,11.33
2008,Coimbatore,3000,9
2008,Coimbatore,6000,11
2008,Madurai,1800,8.57
2008,Madurai,3600,10.51
2008,Tiruchirappalli,1700,8.82
2008,Tiruchirappalli,3400,10.78
2008,Salem,1500,8.33
2008,Salem,3000,10.11
2009,Chennai,2500,9.72
2009,Chennai,5000,11.88
2009,Coimbatore,3400,9.45
2009,Coimbatore,6800,11.55
2009,Madurai,2000,9
2009,Madurai,4000,11.04
2009,Tiruchirappalli,1900,9.27
2009,Tiruchirappalli,3800,11.33
2009,Salem,1700,8.75
2009,Salem,3400,10.62
2010,Chennai,3000,10.17
2010,Chennai,6000,12.43
2010,Coimbatore,3800,9.9
2010,Coimbatore,7600,12.1
2010,Madurai,2200,9.43
2010,Madurai,4400,11.57
2010,Tiruchirappalli,2100,9.72
2010,Tiruchirappalli,4200,11.88
2010,Salem,1900,9.17
2010,Salem,3800,11.13
